userid,date,mood,description
1,2017-01-01,5,"outdoors, Thundercats, pitchfork"
1,2017-01-02,4,"mlkshk, asymmetrical, chambray"
1,2017-01-03,3,"hella, viral, offal"
1,2017-01-04,3,"fixie, tacos, distillery"
1,2017-01-05,1,"pickled, sustainable, hashtag"
1,2017-01-06,2,"narwhal, drinking, hella"
1,2017-01-07,3,"Thundercats, street, salvia"
1,2017-01-08,1,"actually, flexitarian, Godard"
1,2017-01-09,5,"helvetica, salvia, vinyl"
1,2017-01-10,1,"pour-over, cold-pressed, roof"
1,2017-01-11,2,"synth, flannel, salvia"
1,2017-01-12,1,"bespoke, gastropub, fixie"
1,2017-01-13,5,"90's, gentrify, authentic"
1,2017-01-14,1,"taxidermy, intelligentsia, ennui"
1,2017-01-15,2,"locavore, fingerstache, chambray"
1,2017-01-16,2,"beard, lomo, +1"
1,2017-01-17,3,"carry, venmo, hashtag"
1,2017-01-18,1,"plaid, vice, chicharrones"
1,2017-01-19,3,"pop-up, health, vinyl"
1,2017-01-20,3,"health, chillwave, pinterest"
1,2017-01-21,1,"slow-carb, typewriter, fixie"
1,2017-01-22,4,"cleanse, meh, tattooed"
1,2017-01-23,2,"leggings, ennui, hoodie"
1,2017-01-24,1,"celiac, hoodie, cardigan"
1,2017-01-25,2,"pour-over, park, fingerstache"
1,2017-01-26,4,"pour-over, disrupt, gluten-free"
1,2017-01-27,4,"hashtag, neutra, pug"
1,2017-01-28,2,"etsy, ugh, synth"
1,2017-01-29,3,"cleanse, VHS, polaroid"
1,2017-01-30,4,"plaid, beard, Godard"
1,2017-01-31,3,"skateboard, stumptown, tilde"
1,2017-02-01,4,"hashtag, dreamcatcher, fixie"
1,2017-02-02,1,"8-bit, salvia, etsy"
1,2017-02-03,3,"+1, master, intelligentsia"
1,2017-02-04,1,"chambray, letterpress, keffiyeh"
1,2017-02-05,4,"swag, letterpress, brunch"
1,2017-02-06,1,"synth, vice, marfa"
1,2017-02-07,5,"semiotics, crucifix, neutra"
1,2017-02-08,4,"keytar, DIY, ramps"
1,2017-02-09,1,"health, hammock, VHS"
1,2017-02-10,5,"humblebrag, distillery, gentrify"
1,2017-02-11,1,"vinegar, taxidermy, tattooed"
1,2017-02-12,2,"dreamcatcher, seitan, neutra"
1,2017-02-13,2,"swag, mlkshk, chartreuse"
1,2017-02-14,1,"narwhal, schlitz, twee"
1,2017-02-15,3,"tumblr, cliche, asymmetrical"
1,2017-02-16,2,"wolf, cleanse, heirloom"
1,2017-02-17,4,"umami, cardigan, pug"
1,2017-02-18,2,"+1, viral, roof"
1,2017-02-19,3,"lomo, heirloom, aesthetic"
1,2017-02-20,5,"polaroid, hella, celiac"
1,2017-02-21,2,"sustainable, schlitz, cleanse"
1,2017-02-22,5,"pop-up, brunch, asymmetrical"
1,2017-02-23,2,"letterpress, Godard, chartreuse"
1,2017-02-24,1,"chambray, typewriter, venmo"
1,2017-02-25,1,"cardigan, bitters, roof"
1,2017-02-26,1,"polaroid, ugh, distillery"
1,2017-02-27,4,"PBR&B, pinterest, master"
1,2017-02-28,5,"intelligentsia, etsy, street"
1,2017-03-01,3,"umami, letterpress, YOLO"
1,2017-03-02,5,"scenester, pop-up, biodiesel"
1,2017-03-03,1,"mixtape, venmo, YOLO"
1,2017-03-04,4,"yr, kogi, ramps"
1,2017-03-05,5,"neutra, tilde, master"
1,2017-03-06,2,"asymmetrical, bespoke, roof"
1,2017-03-07,3,"pinterest, etsy, typewriter"
1,2017-03-08,2,"vinegar, butcher, intelligentsia"
1,2017-03-09,1,"tilde, keffiyeh, microdosing"
1,2017-03-10,3,"seitan, taxidermy, banjo"
1,2017-03-11,5,"selvage, helvetica, austin"
1,2017-03-12,2,"lomo, occupy, celiac"
1,2017-03-13,5,"narwhal, PBR&B, slow-carb"
1,2017-03-14,3,"DIY, taxidermy, authentic"
1,2017-03-15,2,"tattooed, wayfarers, iPhone"
1,2017-03-16,5,"etsy, asymmetrical, park"
1,2017-03-17,5,"echo, tumblr, truffaut"
1,2017-03-18,5,"stumptown, keytar, franzen"
1,2017-03-19,5,"carry, plaid, williamsburg"
1,2017-03-20,5,"cliche, street, normcore"
1,2017-03-21,2,"VHS, retro, bitters"
1,2017-03-22,4,"irony, meggings, offal"
1,2017-03-23,4,"tousled, stumptown, tumblr"
1,2017-03-24,1,"asymmetrical, yr, PBR&B"
1,2017-03-25,5,"master, 90's, vegan"
1,2017-03-26,2,"mustache, tilde, tattooed"
1,2017-03-27,1,"outdoors, fixie, +1"
1,2017-03-28,2,"poutine, pour-over, biodiesel"
1,2017-03-29,5,"kinfolk, tousled, chambray"
1,2017-03-30,5,"biodiesel, mumblecore, church-key"
1,2017-03-31,4,"try-hard, viral, scenester"
1,2017-04-01,5,"distillery, franzen, keffiyeh"
1,2017-04-02,4,"cray, selfies, cred"
1,2017-04-03,3,"butcher, typewriter, blog"
1,2017-04-04,4,"bespoke, tousled, chambray"
1,2017-04-05,4,"listicle, chillwave, cornhole"
1,2017-04-06,3,"pabst, PBR&B, blog"
1,2017-04-07,2,"dreamcatcher, retro, etsy"
1,2017-04-08,2,"swag, pabst, poutine"
1,2017-04-09,2,"pabst, post-ironic, tumblr"
1,2017-04-10,2,"cred, pinterest, Yuccie"
1,2017-04-11,4,"listicle, selfies, helvetica"
1,2017-04-12,2,"literally, hoodie, goth"
1,2017-04-13,5,"fixie, crucifix, tattooed"
1,2017-04-14,4,"blog, franzen, cardigan"
1,2017-04-15,4,"heirloom, 8-bit, swag"
1,2017-04-16,5,"brooklyn, sartorial, tofu"
1,2017-04-17,5,"street, meggings, offal"
1,2017-04-18,4,"semiotics, iPhone, health"
1,2017-04-19,1,"sriracha, cold-pressed, leggings"
1,2017-04-20,4,"drinking, marfa, pitchfork"
1,2017-04-21,2,"disrupt, ugh, meditation"
1,2017-04-22,2,"hella, heirloom, wayfarers"
1,2017-04-23,5,"street, disrupt, marfa"
1,2017-04-24,5,"squid, chia, meggings"
1,2017-04-25,5,"pickled, knausgaard, tumblr"
1,2017-04-26,1,"taxidermy, franzen, 90's"
1,2017-04-27,5,"Yuccie, cold-pressed, swag"
1,2017-04-28,2,"everyday, outdoors, cornhole"
1,2017-04-29,3,"flannel, neutra, occupy"
1,2017-04-30,5,"authentic, hashtag, narwhal"
1,2017-05-01,5,"authentic, vice, biodiesel"
1,2017-05-02,5,"chartreuse, cornhole, DIY"
1,2017-05-03,4,"distillery, migas, cliche"
1,2017-05-04,3,"carry, squid, kickstarter"
1,2017-05-05,2,"typewriter, bitters, lo-fi"
1,2017-05-06,4,"bespoke, venmo, fingerstache"
1,2017-05-07,4,"kombucha, normcore, cliche"
1,2017-05-08,5,"gastropub, meditation, vice"
1,2017-05-09,1,"cronut, cliche, VHS"
1,2017-05-10,5,"leggings, master, mlkshk"
1,2017-05-11,5,"umami, pug, truffaut"
1,2017-05-13,5,"butcher, roof, vinyl"
1,2017-05-14,1,"taxidermy, selvage, bushwick"
1,2017-05-15,5,"health, 8-bit, twee"
1,2017-05-16,4,"lo-fi, chambray, master"
1,2017-05-17,3,"leggings, outdoors, +1"
1,2017-05-18,1,"neutra, whatever, DIY"
1,2017-05-19,5,"outdoors, selvage, chillwave"
1,2017-05-20,5,"meh, Thundercats, bespoke"
1,2017-05-21,3,"VHS, shoreditch, twee"
1,2017-05-22,3,"church-key, etsy, tattooed"
1,2017-05-23,3,"church-key, taxidermy, +1"
1,2017-05-24,5,"chambray, readymade, kinfolk"
1,2017-05-25,1,"cronut, chartreuse, flexitarian"
1,2017-05-26,5,"migas, knausgaard, poutine"
1,2017-05-27,1,"tattooed, tousled, letterpress"
1,2017-05-28,4,"tousled, bespoke, hoodie"
1,2017-05-29,4,"PBR&B, forage, shoreditch"
1,2017-05-30,4,"hashtag, meditation, kombucha"
1,2017-05-31,1,"venmo, tattooed, synth"
1,2017-06-01,3,"poutine, intelligentsia, DIY"
